server_id,user_id
BBG00NPWH832,NYSE:ALC
BBG00MRHG523,NYSE:STE
BBG00M4ZQDK0,NASDAQ:STNE
BBG00LWZDYB9,NYSE:ESTC
BBG00LSD4456,NYSE:FTCH
BBG00LJYS1P8,NYSE:ELAN
BBG00LBLD3F7,NYSE:SDRL
BBG00L7XTP60,NASDAQ:TLRY
BBG00KXRCDP0,NYSE:CI
BBG00KHY5S69,NASDAQ:AVGO
BBG00JR5MM31,NASDAQ:SGMS
BBG00JPGYW43,NYSE:ST
BBG00JM9XLN6,NYSE:NTR
BBG00JM7QBR6,NYSE:PAGS
BBG00JHNKJY8,NASDAQ:FOX
BBG00JHNJW99,NASDAQ:FOXA
BBG00J7CBVW8,NYSE:EQH
BBG00HQ77DS2,NASDAQ:CARG
BBG00HCY3Q67,NYSE:WH
BBG00HBQ35R8,NYSE:TDW
BBG00H433CR2,NYSE:EVRG
BBG00GVR8YQ9,NYSE:LIN
BBG00GSNPM07,NYSE:JHG
BBG00GQK3WB5,NYSE:SMAR
BBG00GLNJ018,NYSE:BCEI
BBG00GFMPRK0,NYSE:ATUS
BBG00GD1JMV4,NYSE:HCC
BBG00GCTWDJ3,NYSE:CVNA
BBG00GBVBK51,NYSE:BHGE
BBG00GBV88T6,NYSE:BTU
BBG00G41B914,NYSE:GOOS
BBG00G2HHYD7,NYSE:AVTR
BBG00FZYFVC5,NYSE:DK
BBG00FWQ4VD6,NASDAQ:ULTA
BBG00FJDD048,NYSE:KEG
BBG00FFBF302,AMEX:GDP
BBG00F9VSCH3,NASDAQ:ICHR
BBG00DYPZ4T0,NASDAQ:BHF
BBG00DYNJGH9,NYSE:ARNC
BBG00DXDL6Q1,NYSE:VST
BBG00DL8NMV2,NYSE:FTI
BBG00DDZZ1Z0,NASDAQ:THOR
BBG00DBBGRX1,NASDAQ:CRSP
BBG00D8JC882,NYSE:YETI
BBG00D2Z7X83,NYSE:CWH
BBG00D1WLVH9,NASDAQ:TIVO
BBG00D1WHZD9,NYSE:HTZ
BBG00D1PMS80,NASDAQ:CRON
BBG00D0Y81M1,NYSE:ASH
BBG00CW2JCN1,NYSE:ATH
BBG00CVQZQ96,NYSE:ITT
BBG00CC0GTP1,NASDAQ:ROSE
BBG00CBYY6M1,NYSE:HGV
BBG00C6H6D40,NYSE:USFD
BBG00BN96922,NYSE:DOW
BBG00BN961G4,NYSE:DWDP
BBG00BLVZ228,NYSE:FTV
BBG00BDQ1H13,NASDAQ:TEAM
BBG00BBHBMF8,NYSE:VSM
BBG00B8N0HG1,NYSE:YUMC
BBG00B6WH9G3,NASDAQ:MTCH
BBG00B6BFWH9,NYSE:CCEP
BBG009XW8PY2,NASDAQ:NVCR
BBG009T22D49,NYSE:SITE
BBG009S3NB30,NASDAQ:GOOG
BBG009S39JX6,NASDAQ:GOOGL
BBG009PN0C87,NYSE:ADNT
BBG009PH3Q86,NYSE:RACE
BBG009NRSWJ4,NASDAQ:Z
BBG009NRNMY4,NYSE:KL
BBG009NMJJJ4,NYSE:FDC
BBG009LGHG16,NASDAQ:LIVN
BBG009H04M17,NYSE:PLNT
BBG009DTD8H2,NYSE:UA
BBG0098VVDT9,NASDAQ:OLLI
BBG008NXC572,NYSE:WRK
BBG008NVB1C0,NASDAQ:MNST
BBG008N298Y8,NASDAQ:WING
BBG008HBD923,NYSE:SHOP
BBG0088CYPX8,US:NLSN
BBG0084BBZY6,NASDAQ:SEDG
BBG0081VHTP3,NYSE:IGT
BBG00805D2Z3,NYSE:APHA
BBG007TJF1N7,NASDAQ:QRVO
BBG007GJ2F81,NYSE:FND
BBG007FG0C23,NYSE:MSG
BBG007DJM539,US:UBS
BBG0078ZLDG9,NYSE:FCAU
BBG0078Y1D92,NASDAQ:SYNH
BBG0078W3NQ3,NYSE:HPE
BBG0077VNXV6,NASDAQ:PYPL
BBG0076WG2V1,NYSE:QSR
BBG0074Q3NK6,NASDAQ:ERI
BBG0073F9RT7,NASDAQ:LITE
BBG007387YL8,NASDAQ:PRAH
BBG006XVD9G0,US:GCI
BBG006SCSYG7,NYSE:ACB
BBG006Q52QV2,NASDAQ:CYBR
BBG006N7S6K9,NYSE:FNF
BBG006MDLY05,NYSE:GDDY
BBG006LGV869,NASDAQ:VKTX
BBG006KY8KV2,NASDAQ:TERP
BBG006KFB6F8,NASDAQ:ONCE
BBG006K8P6D1,NYSE:SUM
BBG006GNSZW5,NASDAQ:LBRDK
BBG006G063F9,NASDAQ:INFO
BBG006FCB019,NYSE:ENR
BBG006D97VY9,NASDAQ:GH
BBG006BFYZP8,NYSE:PE
BBG0069FB082,NYSE:CGC
BBG0064N0ZZ5,NYSE:PAYC
BBG0063GCHH8,NYSE:SHAK
BBG00629NGT2,NASDAQ:TTD
BBG0060CPLJ5,NYSE:AXTA
BBG005YW6FV6,NASDAQ:NBEV
BBG005MX5GZ2,NASDAQ:EDIT
BBG005H82GB2,NYSE:CC
BBG005DJFD43,NYSE:NVTA
BBG005CPNTS0,NASDAQ:MIK
BBG005CPNTQ2,NASDAQ:KHC
BBG005CM7J89,NASDAQ:WIX
BBG005C4XHR3,NYSE:ESI
BBG0058KMH30,NYSE:HLT
BBG004TPGBP5,NASDAQ:MRTX
BBG004S641N5,NYSE:BURL
BBG004S5X3Y9,NYSE:S
BBG004M9ZHX5,NASDAQ:LYFT
BBG004LTL7L2,NASDAQ:COMM
BBG004KB3S72,NASDAQ:ESPR
BBG0046L1KL9,NASDAQ:SFIX
BBG00441QMJ7,NYSE:SNAP
BBG003T4VFC2,NYSE:SPOT
BBG003S44SC5,NYSE:TRCO
BBG003RY97K2,NYSE:SEAS
BBG003PGJHP5,NYSE:TMHC
BBG003CVMLQ2,NYSE:LW
BBG003CVJP50,NASDAQ:BYND
BBG00359HX70,NASDAQ:ACIA
BBG00341H6M0,NASDAQ:GBT
BBG00333FYS2,NYSE:IQV
BBG003338H34,NASDAQ:ZS
BBG0033377Y3,NASDAQ:HDS
BBG002ZY3W71,NYSE:I
BBG002ZM63J5,NYSE:ZAYO
BBG002WMH2F2,NYSE:SERV
BBG002VZ68Y2,NASDAQ:BLMN
BBG002S5ZRF9,NASDAQ:SSYS
BBG002R1CW27,NYSE:GDI
BBG002Q7J5Z1,NYSE:TRU
BBG002PHSYX9,NASDAQ:FANG
BBG002DZS299,NYSE:PLAN
BBG002CN8XN5,NASDAQ:GOGO
BBG002B04MT8,NYSE:UBER
BBG0029ZX840,NYSE:TWLO
BBG0029SNR63,NYSE:CPRI
BBG0029BK2G7,NYSE:DATA
BBG0027Y18M0,NYSE:WP
BBG0025YWQ66,NYSE:FIT
BBG0025X16Y5,NASDAQ:SAGE
BBG0025F81C2,NASDAQ:MLNT
BBG002583CV8,NYSE:PINS
BBG0022FDRY8,NASDAQ:MDB
BBG00212PVZ5,NYSE:PSTG
BBG0020B4JG7,NASDAQ:FEYE
BBG001ZZPQJ6,NASDAQ:ROKU
BBG001YV1SM4,NASDAQ:OKTA
